month_year,handle,sentiment,twitter_engagementent,personality:openness,personality:extraversion,personality:agreeableness,personality:conscientiousness,political:Libertarian,political:Liberal,political:Green,political:Conservative,personas:advocate,personas:debater,personas:mediator,personas:consul,personas:executive,personas:adventurer,personas:logistician,personas:commander,personas:entrepreneur,personas:logician,personas:protagonist,personas:architect,personas:campaigner,personas:entertainer,personas:defender,personas:virtuoso,emotion:anger,emotion:joy,emotion:fear,emotion:sadness,emotion:surprise
'April2017','hampshirecolg',0.652510999,0.565117822,0.542213349,0.454564844,0.474953407,0.492062294,0.229037836,0.15752204,0.392361195,0.221078906,0.070567975,0.063700064,0.076993199,0.043133888,0.047531379,0.063145924,0.066421581,0.059804587,0.050981511,0.087960989,0.054779025,0.080417307,0.058047274,0.046099848,0.057866829,0.072548619,0.111961144,0.170175257,0.336333888,0.30580829,0.075721425
'March2017','hampshirecolg',0.654340178,0.552729212,0.536123011,0.454761699,0.490337949,0.485178848,0.162278024,0.203415173,0.476760687,0.157546125,0.071251538,0.05917446,0.080794231,0.0457307,0.045631252,0.068914642,0.065315627,0.052044592,0.050543919,0.085240107,0.052522786,0.075691649,0.061247618,0.051383103,0.061845357,0.072668421,0.104978694,0.213981324,0.270099139,0.339490092,0.071450747
'February2017','hampshirecolg',0.614903037,0.53880778,0.548769676,0.485074196,0.508773916,0.475220259,0.169320896,0.198965829,0.443623847,0.188089429,0.07209534,0.065434543,0.081976128,0.051152602,0.046723226,0.063798018,0.054171768,0.058035561,0.051505697,0.080588809,0.061740598,0.069771042,0.068747561,0.055834793,0.057434172,0.060990142,0.096963796,0.267558406,0.236220119,0.311652654,0.087605028
'January2017','hampshirecolg',0.644134341,0.535262413,0.538773922,0.450738157,0.490284451,0.50263014,0.210764984,0.164264216,0.440164267,0.184806534,0.078614257,0.057926355,0.07739385,0.047682871,0.047197392,0.06147118,0.066422633,0.059577472,0.046026969,0.084350738,0.058158874,0.084586558,0.055902977,0.045565495,0.062437513,0.066684866,0.112735681,0.239553057,0.267891555,0.298291127,0.081528581
'December2016','hampshirecolg',0.617413609,0.534960607,0.568886314,0.496899213,0.518951659,0.459344726,0.172595665,0.177782211,0.482525217,0.167096907,0.072740654,0.068822424,0.087461214,0.04783835,0.041844496,0.062811075,0.048563472,0.058186518,0.049508759,0.081519215,0.066361535,0.067711839,0.078995454,0.056911117,0.05221817,0.058505708,0.091962036,0.211391647,0.300318213,0.31477211,0.081555986
'November2016','hampshirecolg',0.538427738,0.53847259,0.547072307,0.445450898,0.49844078,0.485917683,0.187065265,0.173401979,0.398008851,0.241523895,0.079576898,0.056628588,0.087097565,0.043102693,0.041532714,0.069232913,0.063913417,0.051811963,0.045599426,0.087091398,0.054537916,0.079648443,0.05960306,0.047167231,0.062568839,0.070886937,0.144930933,0.176409998,0.2489098,0.3361143,0.093634978
'October2016','hampshirecolg',0.63848678,0.536705453,0.530344861,0.480559789,0.497707899,0.487674824,0.148298202,0.211041068,0.482280107,0.158380608,0.067429459,0.062442549,0.07467585,0.05189064,0.052202584,0.064862626,0.061566728,0.060282894,0.052864019,0.075489763,0.062232989,0.068058773,0.065567378,0.053374916,0.058771673,0.068287162,0.115932844,0.209814646,0.279567842,0.342732618,0.051952056
'September2016','hampshirecolg',0.657373805,0.575798106,0.563361796,0.449951965,0.480724861,0.491261798,0.191456016,0.165760046,0.477591755,0.165192199,0.079547768,0.065064385,0.082553445,0.040363552,0.043218255,0.058865144,0.061885675,0.062279116,0.045153618,0.093698525,0.056800467,0.088324346,0.058379961,0.041515605,0.056574873,0.065775265,0.15305014,0.175293763,0.277531096,0.302208707,0.091916287
'August2016','hampshirecolg',0.681139921,0.537528875,0.549059728,0.469134036,0.497515732,0.492441581,0.149262914,0.132583473,0.596902098,0.121251522,0.077770073,0.063747937,0.082030103,0.045896329,0.049068451,0.059657921,0.061640101,0.06421024,0.048252251,0.078932983,0.061909094,0.077655276,0.063033565,0.045960632,0.058615344,0.061619699,0.130229215,0.181340154,0.299073908,0.322248552,0.067108164
'July2016','hampshirecolg',0.704831136,0.53026611,0.518102145,0.463999662,0.494559988,0.490968496,0.195521837,0.175288063,0.466571165,0.162618914,0.067896275,0.058070922,0.075661724,0.050923567,0.050618166,0.070114567,0.067304439,0.053031092,0.053870681,0.076335952,0.054485586,0.069076699,0.060493802,0.054848591,0.06452016,0.072747776,0.116822578,0.221225046,0.224399447,0.36787548,0.069677465
'June2016','hampshirecolg',0.754784046,0.540226949,0.569766155,0.482001385,0.525695019,0.466629263,0.160757453,0.138493545,0.550328259,0.150420767,0.079022999,0.062799,0.091018155,0.048038491,0.039619924,0.06343083,0.05086485,0.055206803,0.043717475,0.084466746,0.066659553,0.072563054,0.075654175,0.052870738,0.056698484,0.057368721,0.075404421,0.283258266,0.248669,0.319118535,0.073549787
'May2016','hampshirecolg',0.62576069,0.537767014,0.511604089,0.431136332,0.489307342,0.507263064,0.212076806,0.188747736,0.412442713,0.186732762,0.074821115,0.051106265,0.076097592,0.04594841,0.046460878,0.073598014,0.077730707,0.049752618,0.046975099,0.079019532,0.049664891,0.078581372,0.052226237,0.047526539,0.073277084,0.077213649,0.143245814,0.217276971,0.275324222,0.261984382,0.102168608
'April2016','hampshirecolg',0.77816245,0.587588645,0.556429921,0.487804494,0.527862776,0.477437758,0.18544397,0.16085882,0.464907831,0.188789377,0.079371896,0.062681727,0.084199547,0.05179225,0.043379397,0.061647856,0.053442991,0.058604935,0.045101191,0.075999148,0.069022824,0.071743772,0.074073003,0.054302939,0.059406275,0.055230249,0.090437989,0.235110037,0.257250295,0.304716666,0.112485009
'March2016','hampshirecolg',0.59390454,0.53163589,0.5314024,0.452595949,0.487986564,0.500035559,0.172440657,0.209834426,0.421904206,0.195820731,0.074523749,0.057826287,0.075599197,0.047810324,0.04823985,0.063320778,0.068557652,0.056487907,0.048923302,0.08299413,0.055802628,0.081377741,0.057480677,0.048797826,0.06318423,0.069073722,0.105818438,0.224142319,0.253245474,0.317301313,0.099492466
'February2016','hampshirecolg',0.704108464,0.548064544,0.536223908,0.480042544,0.50436293,0.480699382,0.171815623,0.189815034,0.444560946,0.193808396,0.068923655,0.064392329,0.077009326,0.0504924,0.047077073,0.066598863,0.060472578,0.056753287,0.051862744,0.076337911,0.060619496,0.068061099,0.068580341,0.055312455,0.061094034,0.066412409,0.110846087,0.243675706,0.28006038,0.305123301,0.060294534
'January2016','hampshirecolg',0.69699439,0.55609708,0.535216241,0.463744818,0.486984828,0.489138628,0.148786195,0.139486837,0.57411533,0.137611644,0.069476208,0.063211107,0.076426654,0.047559801,0.048302417,0.06559234,0.064174215,0.058001343,0.051742015,0.082981042,0.056223743,0.074310674,0.060542313,0.0501544,0.060700417,0.07060131,0.1261206,0.1727622,0.255249399,0.361894873,0.083972933
'December2015','hampshirecolg',0.662136841,0.519727625,0.537250284,0.462800307,0.485042037,0.496364663,0.180691463,0.167360702,0.490185678,0.161762136,0.073908255,0.062924485,0.074901595,0.046427338,0.049681635,0.061102779,0.065344993,0.060603238,0.052127834,0.080892966,0.057116421,0.080457884,0.059535147,0.048846578,0.059442652,0.0666862,0.124409182,0.219112186,0.284564949,0.288611051,0.083302635
'November2015','hampshirecolg',0.611510207,0.539196004,0.576121269,0.487583227,0.520047165,0.475384548,0.194430425,0.174735465,0.456521991,0.174312118,0.082428585,0.066068395,0.08618229,0.046524919,0.041536388,0.055829747,0.050817502,0.06352135,0.043625181,0.081419424,0.070513012,0.079971329,0.075804824,0.05057335,0.052939495,0.052244207,0.104997477,0.2352693,0.323383651,0.268723427,0.067626161
'October2015','hampshirecolg',0.586299485,0.54234353,0.550219908,0.500318938,0.496674043,0.482179951,0.192010906,0.172951762,0.474793585,0.160243757,0.070711333,0.072300219,0.07570269,0.050158047,0.055021457,0.055847152,0.052517045,0.06882629,0.056758674,0.075828436,0.065428175,0.070142981,0.069376574,0.052441116,0.052482524,0.056457287,0.162377239,0.215659478,0.279444338,0.288910267,0.053608672
'September2015','hampshirecolg',0.611704075,0.546521687,0.540229154,0.472037023,0.491320025,0.502020653,0.215434537,0.175663736,0.421112618,0.187789115,0.075329736,0.064087852,0.071706106,0.049974494,0.050940022,0.056766418,0.062583696,0.066954799,0.049235017,0.078920134,0.064509313,0.080828052,0.060255544,0.046998961,0.05931003,0.061599829,0.114265543,0.214373277,0.323434669,0.269130506,0.07879601
'August2015','hampshirecolg',0.598700438,0.536006637,0.538578551,0.443532317,0.471589729,0.49311833,0.204891016,0.179758664,0.433367939,0.181982386,0.071691554,0.061777706,0.07894725,0.042064078,0.046794423,0.065241497,0.069180695,0.055276583,0.050958533,0.090335613,0.049820123,0.081563737,0.055218648,0.04534516,0.060310623,0.075473778,0.128492901,0.212704996,0.236534017,0.307061917,0.115206168
'July2015','hampshirecolg',0.665262983,0.553478285,0.527559614,0.46121581,0.48501207,0.485533705,0.184763837,0.163611706,0.477021492,0.174602984,0.067415028,0.060900283,0.077309564,0.047271152,0.049007775,0.069320694,0.065382858,0.053078346,0.055538439,0.082707945,0.053475111,0.070459409,0.059270891,0.052757128,0.060734507,0.075370871,0.110986101,0.221782191,0.294407751,0.279111468,0.093712491
'June2015','hampshirecolg',0.634030233,0.526439259,0.559804062,0.462891384,0.4902274,0.486253132,0.202415688,0.185263676,0.42333897,0.188981675,0.077473005,0.065044544,0.081929098,0.043311285,0.044552714,0.059077703,0.060054872,0.060742271,0.04737444,0.088555533,0.060178026,0.082492682,0.063534334,0.045538936,0.055872799,0.064267757,0.117861554,0.276939307,0.232003082,0.27242748,0.100768577
'May2015','hampshirecolg',0.566021472,0.521157975,0.53636884,0.443705834,0.475319373,0.4952185,0.188653077,0.188081824,0.421180012,0.202085091,0.073215259,0.059579742,0.077820867,0.043315985,0.046908533,0.065439178,0.068357885,0.054914732,0.05078945,0.089342716,0.050973834,0.082571002,0.054761562,0.046321558,0.061098464,0.074589234,0.155378114,0.205134831,0.236884595,0.306965351,0.095637115
'April2015','hampshirecolg',0.538469561,0.507228858,0.541181984,0.469989895,0.499131633,0.484889779,0.193227267,0.181067488,0.455594472,0.17011078,0.072929986,0.061681749,0.079063157,0.048470269,0.046528028,0.063803646,0.061747531,0.056153246,0.050600523,0.080993666,0.059099415,0.074770597,0.065345009,0.052982966,0.05950044,0.066329771,0.167500671,0.211473105,0.222800954,0.311772694,0.086452579
'March2015','hampshirecolg',0.562156764,0.51281491,0.527200574,0.466229372,0.498006914,0.497619939,0.196063413,0.165418888,0.45927653,0.179241171,0.073501294,0.058780471,0.074065685,0.050850245,0.04988756,0.064158105,0.065790653,0.057993202,0.05083585,0.075876949,0.060288011,0.075254426,0.060960669,0.051345729,0.063356503,0.067054646,0.128622659,0.252006652,0.230258852,0.310998894,0.078112944
'February2015','hampshirecolg',0.594671512,0.506766087,0.542009365,0.470535225,0.49541808,0.486884221,0.184306166,0.178857024,0.461599147,0.175237663,0.072602732,0.063783399,0.077614427,0.047848603,0.04717706,0.063265074,0.061487755,0.058881219,0.050897879,0.080835598,0.059332974,0.07558656,0.064176654,0.051334661,0.05936144,0.065813964,0.130478699,0.241164875,0.234665815,0.305156267,0.088534348
'January2015','hampshirecolg',0.57734237,0.501260221,0.516584651,0.455911334,0.485779735,0.495578089,0.202605824,0.196578155,0.433659901,0.167156122,0.067620132,0.056967622,0.072990556,0.050327431,0.049667016,0.06956612,0.069180977,0.053082063,0.053662248,0.080096685,0.054296356,0.072545496,0.056343138,0.052680228,0.064080546,0.076893386,0.105585394,0.273926047,0.241400908,0.281333432,0.097754222
'December2014','hampshirecolg',0.59955666,0.513216099,0.535508663,0.47006897,0.506110984,0.483611098,0.183991488,0.207148336,0.431034984,0.177825201,0.07280577,0.060713259,0.079225283,0.049474186,0.045596244,0.069016476,0.060800689,0.055194746,0.050255268,0.07768314,0.05912712,0.070726872,0.064785217,0.05402066,0.063108386,0.067466686,0.143831984,0.212934827,0.25053871,0.295775401,0.096919081
'November2014','hampshirecolg',0.594497476,0.489208375,0.54745936,0.482600731,0.489658475,0.487812447,0.193097807,0.170958464,0.464454828,0.171488902,0.070204861,0.068505773,0.073260118,0.048698945,0.049848713,0.05734827,0.059081688,0.065032616,0.052385024,0.081007952,0.063300444,0.076713146,0.066340259,0.050849465,0.054816045,0.06260668,0.119746675,0.211222437,0.310760787,0.284086292,0.074183817
'October2014','hampshirecolg',0.590183867,0.506281951,0.539365541,0.463106592,0.492953844,0.489856544,0.200823571,0.178039532,0.436853145,0.184283753,0.073446096,0.061685647,0.077915053,0.047203888,0.046930066,0.063890831,0.063736569,0.057190957,0.050210677,0.082373268,0.058068723,0.076594644,0.061975141,0.049775095,0.060862647,0.068140696,0.121695606,0.218770329,0.267275682,0.303711478,0.088546906
'September2014','hampshirecolg',0.595654086,0.511606042,0.530612827,0.45830202,0.480355164,0.493221761,0.202526562,0.182465383,0.434738264,0.180269799,0.069343592,0.06156832,0.074944649,0.046991783,0.049462593,0.064955378,0.066871858,0.056778969,0.053465296,0.083548839,0.053354049,0.077641048,0.058024655,0.050690091,0.060407451,0.071951428,0.116072896,0.25231975,0.261886645,0.279766508,0.089954202
'August2014','hampshirecolg',0.592348801,0.528106141,0.539095977,0.464496803,0.490927256,0.498003991,0.21588596,0.168319819,0.42423244,0.191561782,0.075531179,0.062139939,0.074889276,0.04860494,0.049214445,0.059822702,0.063865575,0.06137233,0.049628331,0.081321673,0.060222257,0.080454739,0.059861478,0.047988562,0.060449902,0.06463267,0.138759207,0.236622612,0.251113552,0.291220083,0.082284555
'July2014','hampshirecolg',0.575253984,0.537343091,0.533309922,0.45412791,0.485463338,0.499364209,0.207571102,0.195627756,0.422896713,0.173904436,0.073761611,0.058773643,0.075506579,0.047430452,0.048987571,0.062447846,0.068208769,0.057046614,0.049577464,0.083639012,0.055756489,0.082304386,0.057928379,0.048662983,0.061466527,0.068501674,0.118428194,0.224861109,0.22850255,0.305616759,0.122591387
'June2014','hampshirecolg',0.575535066,0.521466178,0.550242064,0.456835624,0.477351929,0.489519252,0.209906948,0.188446821,0.426120812,0.175525417,0.072054705,0.064549713,0.078330046,0.042341821,0.045944504,0.061283716,0.064497906,0.060489856,0.04968271,0.089203601,0.056570049,0.082626633,0.060375132,0.045633101,0.055969008,0.0704475,0.144944913,0.188948379,0.265227308,0.303770164,0.097109239
'May2014','hampshirecolg',0.612800587,0.528320486,0.535526175,0.461815426,0.478435738,0.493715962,0.207236489,0.189275289,0.399190638,0.204297593,0.069871882,0.063856489,0.074231583,0.046516493,0.049900912,0.062291625,0.065598542,0.059899625,0.053240503,0.083907229,0.055316472,0.078571621,0.058629766,0.049111198,0.058551879,0.070504181,0.177986074,0.205702466,0.232826822,0.284787651,0.098696992
'April2014','hampshirecolg',0.594574178,0.513146671,0.547842515,0.466738017,0.499341848,0.488223018,0.208562381,0.18098486,0.424367096,0.186085665,0.076524964,0.061736919,0.080105799,0.047220075,0.045705635,0.061860593,0.061143011,0.058643449,0.047987855,0.082260485,0.060678891,0.07907844,0.064374027,0.049744565,0.058884805,0.064050488,0.14080873,0.253956269,0.214706121,0.289136746,0.10139214
'March2014','hampshirecolg',0.657779178,0.53341144,0.541248011,0.472231885,0.496439567,0.4843416,0.194671544,0.179265462,0.44769085,0.178372145,0.071932587,0.063175062,0.078247502,0.048646049,0.04735772,0.063848114,0.060384276,0.057583914,0.051937988,0.081170938,0.058722696,0.074555373,0.064420949,0.053243962,0.058574735,0.066198134,0.135019339,0.240849077,0.233843633,0.285220863,0.105067095
'February2014','hampshirecolg',0.580193116,0.529794554,0.537724863,0.492671307,0.521207166,0.483190725,0.216514713,0.188075003,0.412128302,0.183281986,0.073736827,0.062060592,0.077123598,0.055503583,0.048776819,0.06343474,0.055363634,0.059609382,0.050699072,0.070988358,0.066528975,0.068813348,0.070713522,0.058712989,0.060590271,0.057344289,0.120812923,0.24674968,0.24577474,0.283830741,0.10283192
'January2014','hampshirecolg',0.619187532,0.525432482,0.537652371,0.477708121,0.495962984,0.487382238,0.193963791,0.180391385,0.457560488,0.168084336,0.069903005,0.063691652,0.074683557,0.051122603,0.049263487,0.062064483,0.060438964,0.059484905,0.052529995,0.079683117,0.060786953,0.074369002,0.064789926,0.054151864,0.058210776,0.064825713,0.134641582,0.270430625,0.219072604,0.267658691,0.1081965
'December2013','hampshirecolg',0.628704199,0.504775926,0.535691313,0.475543705,0.483390723,0.48843029,0.202915811,0.18243091,0.448197285,0.166455996,0.067013392,0.065487772,0.073589968,0.048988471,0.052030168,0.061651687,0.062114514,0.060807651,0.05555468,0.081225898,0.05828967,0.074330209,0.062467634,0.052426021,0.055920812,0.06810145,0.12927956,0.236098165,0.226277407,0.318722444,0.089622424
'November2013','hampshirecolg',0.59264969,0.495778385,0.542296049,0.462878312,0.485917575,0.491539421,0.181372488,0.162815383,0.489547226,0.166264904,0.07298601,0.063748415,0.076268047,0.045766291,0.047376467,0.062293485,0.063713092,0.060022467,0.050821565,0.083492659,0.057340297,0.080074444,0.060824385,0.048988217,0.058668,0.067616161,0.118377542,0.243479375,0.256340035,0.29968628,0.082116774
'October2013','hampshirecolg',0.592615075,0.517178544,0.534952396,0.473895905,0.504876974,0.493139292,0.20483956,0.176976769,0.427472215,0.190711462,0.074865839,0.060799239,0.075830562,0.052222592,0.048876526,0.062649873,0.061184932,0.059573299,0.049812849,0.076506514,0.062514939,0.074808567,0.063157099,0.052615577,0.062061631,0.06251996,0.134486753,0.240444658,0.249732927,0.269134763,0.106200903
'September2013','hampshirecolg',0.626540245,0.517383088,0.544598692,0.464961655,0.493627092,0.487085136,0.195555912,0.189432393,0.445546072,0.169465635,0.074771116,0.062802151,0.079619033,0.04601727,0.046485128,0.063078435,0.062125541,0.057435104,0.050702161,0.082679971,0.05798361,0.077626681,0.063130107,0.049899329,0.059131404,0.066512959,0.132759123,0.236124639,0.253396871,0.285620763,0.0920986
'August2013','hampshirecolg',0.522814697,0.501762205,0.542255873,0.4579335,0.487158861,0.490318308,0.192697344,0.185018563,0.468170833,0.154113272,0.072563246,0.062195914,0.077367925,0.046832827,0.045558226,0.063687153,0.063674041,0.056842096,0.049269621,0.087158467,0.055460459,0.08127066,0.059984098,0.049705051,0.060389921,0.068040297,0.132331209,0.245716109,0.244100663,0.297170658,0.080681362
'July2013','hampshirecolg',0.533524663,0.518080653,0.559267968,0.458179076,0.486043733,0.479336045,0.193202525,0.174772881,0.457537925,0.174486665,0.074487932,0.065065705,0.085002189,0.041166274,0.043080382,0.063401195,0.060475738,0.057269173,0.048900775,0.09109511,0.05538932,0.08026584,0.063217274,0.046808888,0.055700122,0.068674084,0.133816826,0.237131388,0.225818745,0.295847602,0.107385443
'June2013','hampshirecolg',0.558399201,0.511182343,0.545891083,0.456489066,0.473347244,0.486976939,0.18404765,0.171652294,0.465860961,0.1784391,0.069330206,0.065690032,0.07758208,0.04272495,0.046409089,0.063278125,0.064643506,0.058832505,0.051831095,0.090170052,0.053679269,0.079770977,0.059204088,0.047075874,0.056571806,0.073206347,0.137205601,0.236175518,0.246267079,0.294546242,0.085805565
'May2013','hampshirecolg',0.56524147,0.530267875,0.542655345,0.467174186,0.479722903,0.495985234,0.20641486,0.184165195,0.407733736,0.201686213,0.071499841,0.065771876,0.073385841,0.047027376,0.05050404,0.058059805,0.063676968,0.064225527,0.051442538,0.084220514,0.059005937,0.081296298,0.059878455,0.047487766,0.056568818,0.0659484,0.170700487,0.22253089,0.222349658,0.266602192,0.117816776
